Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Mileage,Engine,Max_power,Color,Seating_capacity,City
Sedan,120000,1,Hyundai,Hyundai Elantra,2013,650000,Petrol,Third Party insurance,Manual,16.3,1797,147.5,Others,5,Bangalore
Sedan,59000,1,Audi,Audi A6,2015,2089999,Diesel,Third Party insurance,Automatic,18.53,1968,187.74,White,5,Bangalore
Hatchback,18835,1,Maruti,Maruti Alto 800,2021,411000,Petrol,Zero Dep,Manual,22.05,796,47.33,Silver,5,Bangalore
SUV,120000,2,Mahindra,Mahindra Scorpio,2010,650000,Diesel,Third Party insurance,Manual,12.05,2179,120.0,Gray,7,Bangalore
Hatchback,40000,1,Mini,Mini 3 DOOR,2016,3675000,Petrol,Comprehensive,Automatic,17.33,1998,189.08,White,4,Bangalore
Hatchback,60932,1,Tata,Tata Tiago,2019,610000,Petrol,Comprehensive,Manual,23.84,1199,83.83,Red,5,Bangalore
SUV,33539,2,Kia,Kia Seltos,2020,1675000,Petrol,Comprehensive,Automatic,16.5,1353,138.08,White,5,Bangalore
Hatchback,66837,2,Tata,Tata Tiago,2018,530000,Petrol,Comprehensive,Manual,23.84,1199,84.0,Brown,5,Bangalore
Sedan,400,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,7990000,Diesel,Third Party,Automatic,23.84,2925,281.61,White,5,Bangalore
Hatchback,60000,2,Maruti,Maruti Alto,2008,250000,Petrol,Third Party insurance,Manual,19.7,796,46.3,Others,5,Bangalore
Hatchback,44285,1,Hyundai,Hyundai i20,2019,715000,Petrol,Third Party insurance,Manual,18.6,1197,81.86,Grey,5,Bangalore
SUV,100000,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,3500000,Diesel,Third Party insurance,Automatic,11.3,2987,254.8,Others,7,Bangalore
SUV,25000,1,Tata,Tata New Safari,2021,2250000,Diesel,Comprehensive,Automatic,14.08,1956,167.67,White,6,Bangalore
Hatchback,36735,1,Hyundai,Hyundai Grand i10,2018,625000,Petrol,Comprehensive,Manual,18.9,1197,81.86,Blue,5,Bangalore
SUV,79000,1,Audi,Audi Q7,2015,2695000,Diesel,Comprehensive,Automatic,12.07,2967,241.4,White,7,Bangalore
SUV,120000,2,Mahindra,Mahindra Scorpio,2010,650000,Diesel,Third Party insurance,Manual,12.05,2179,120.0,Gray,8,Bangalore
Hatchback,10000,1,Renault,Renault KWID,2022,550000,Petrol,Third Party insurance,Automatic,22.0,999,67.0,Others,5,Bangalore
SUV,53645,1,Tata,Tata Nexon,2018,825000,Diesel,Comprehensive,Manual,21.5,1497,108.5,White,5,Bangalore
Hatchback,100000,2,Hyundai,Hyundai Getz,2006,220000,Petrol,Third Party insurance,Manual,15.3,1341,83.0,Others,5,Bangalore
Hatchback,53982,1,Maruti,Maruti Celerio,2014,428000,Petrol,Comprehensive,Automatic,26.68,998,65.71,Others,5,Bangalore
Sedan,110000,1,Skoda,Skoda Rapid,2014,695000,Diesel,Third Party insurance,Manual,21.14,1498,103.52,Black,5,Bangalore
SUV,37741,2,Ford,Ford Ecosport,2019,930000,Petrol,Third Party insurance,Manual,15.9,1496,120.69,White,5,Bangalore
Hatchback,17367,1,Maruti,Maruti Alto 800,2021,455000,Petrol,Comprehensive,Manual,22.05,796,47.33,Silver,5,Bangalore
SUV,94000,1,Hyundai,Hyundai Creta,2017,1195000,Diesel,Comprehensive,Manual,19.67,1582,126.2,Grey,5,Bangalore
SUV,33700,1,Tata,Tata Harrier,2021,2175000,Diesel,Comprehensive,Automatic,14.6,1956,167.67,Grey,5,Bangalore
Hatchback,54601,3,Maruti,Maruti Swift,2014,442000,Petrol,Comprehensive,Manual,22.38,1197,88.5,White,5,Bangalore
Hatchback,110000,1,Maruti,Maruti Swift,2018,690000,Diesel,Third Party insurance,Manual,28.4,1248,74.0,Others,5,Bangalore
Hatchback,64000,2,Maruti,Maruti Celerio,2017,500000,Petrol,Third Party,Manual,23.1,998,67.04,Red,5,Bangalore
Sedan,40525,1,BMW,BMW 3 Series GT,2016,3395000,Diesel,Comprehensive,Automatic,21.76,1995,188.0,White,5,Bangalore
Sedan,100000,1,Maruti,Maruti Ciaz,2015,650000,Diesel,Third Party insurance,Manual,26.21,1248,88.5,White,5,Bangalore
Hatchback,44154,2,Honda,Honda Jazz,2016,537000,Petrol,Comprehensive,Automatic,19.0,1199,88.7,White,5,Bangalore
MUV,70000,1,Renault,Renault Lodgy,2016,750000,Diesel,Third Party insurance,Manual,19.98,1461,108.5,White,7,Bangalore
Sedan,79000,1,Skoda,Skoda Octavia,2018,1789999,Petrol,Comprehensive,Automatic,15.1,1798,178.0,White,5,Bangalore
Hatchback,68039,2,Tata,Tata Tiago,2017,468000,Petrol,Third Party insurance,Manual,23.84,1199,84.0,Orange,5,Bangalore
Hatchback,60000,2,Maruti,Maruti Ritz,2014,420000,Petrol,Third Party insurance,Manual,18.5,1197,85.8,Silver,5,Bangalore
Hatchback,60000,2,Maruti,Maruti Ritz,2014,420000,Petrol,Third Party insurance,Manual,18.5,1197,85.8,Silver,5,Bangalore
Hatchback,10000,1,Hyundai,Hyundai i20,2021,919999,Petrol,Third Party insurance,Manual,20.0,998,118.36,Others,5,Bangalore
Sedan,49873,1,Honda,Honda City,2013,533000,Petrol,Third Party,Manual,16.8,1497,116.3,Yellow,5,Bangalore
Hatchback,90000,3,Volkswagen,Volkswagen Polo,2013,850000,Petrol,Third Party insurance,Automatic,17.2,1197,103.6,Others,5,Bangalore
Sedan,48960,2,Skoda,Skoda Rapid,2017,751000,Diesel,Third Party insurance,Manual,21.13,1498,108.6,Silver,5,Bangalore
Hatchback,70000,2,Hyundai,Hyundai Grand i10,2014,388000,Diesel,Third Party insurance,Manual,24.0,1120,70.0,Others,5,Bangalore
Hatchback,68000,2,Hyundai,Hyundai i20,2013,490000,Petrol,Comprehensive,Manual,18.5,1197,82.85,Silver,5,Bangalore
SUV,23017,1,Mahindra,Mahindra KUV 100,2016,494000,Diesel,Third Party,Manual,25.32,1198,77.0,Orange,6,Bangalore
Hatchback,83000,2,Hyundai,Hyundai i20,2013,525000,Diesel,Comprehensive,Manual,21.27,1396,88.76,Brown,5,Bangalore
SUV,92000,2,BMW,BMW X3,2016,2890000,Diesel,Comprehensive,Automatic,16.55,1995,187.74,White,5,Bangalore
Hatchback,62139,1,Maruti,Maruti Wagon R,2018,550000,Petrol,Comprehensive,Manual,20.51,998,67.04,Red,5,Bangalore
Hatchback,74000,1,Hyundai,Hyundai i10,2013,365000,LPG,Comprehensive,Manual,19.2,1086,68.05,Grey,5,Bangalore
Hatchback,26500,2,Renault,Renault KWID,2016,420000,Petrol,Comprehensive,Automatic,24.04,999,67.0,Red,5,Bangalore
Sedan,81716,1,Volvo,Volvo S60,2017,1895000,Diesel,Comprehensive,Automatic,27.03,1969,190.0,Silver,5,Bangalore
Sedan,24000,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,5990000,Diesel,Comprehensive,Automatic,17.0,2987,254.8,White,5,Bangalore
SUV,10000,1,Mahindra,Mahindra XUV300,2022,1050000,Petrol,Third Party insurance,Automatic,17.0,1197,108.6,White,5,Bangalore
SUV,18000,1,MG,MG Hector Plus,2021,2075000,Petrol,Comprehensive,Automatic,16.56,1451,141.0,Black,6,Bangalore
Hatchback,38197,1,Honda,Honda Brio,2013,394000,Petrol,Third Party,Manual,19.4,1198,86.8,Others,5,Bangalore
Hatchback,23000,2,Maruti,Maruti Baleno,2017,725000,Petrol,Comprehensive,Automatic,19.56,1197,81.8,Grey,5,Bangalore
Hatchback,50000,1,Maruti,Maruti Alto K10,2013,240000,Petrol,Third Party insurance,Manual,20.92,998,67.1,Red,5,Bangalore
SUV,10000,1,Renault,Renault Kiger,2022,835000,Petrol,Third Party insurance,Automatic,19.03,999,71.01,Others,5,Bangalore
Hatchback,19000,1,Hyundai,Hyundai Grand i10,2019,695000,Petrol,Third Party insurance,Manual,18.9,1197,81.86,Blue,5,Bangalore
SUV,14000,1,Kia,Kia Seltos,2020,1725000,Petrol,Comprehensive,Automatic,16.5,1353,138.08,White,5,Bangalore
Hatchback,29268,1,Hyundai,Hyundai EON,2014,330000,Petrol,Comprehensive,Manual,21.1,814,55.2,White,5,Bangalore
Sedan,20000,1,Volkswagen,Volkswagen Vento,2019,990000,Petrol,Third Party insurance,Automatic,18.19,1197,103.2,Others,5,Bangalore
Sedan,30000,1,Toyota,Toyota Yaris,2018,750000,Petrol,Third Party insurance,Manual,17.1,1496,105.5,Others,5,Bangalore
Hatchback,64374,1,Honda,Honda Jazz,2018,755000,Petrol,Third Party insurance,Automatic,19.0,1199,88.7,Grey,5,Bangalore
SUV,30000,1,MG,MG Hector,2021,1750000,Diesel,Comprehensive,Manual,17.41,1956,167.68,Others,5,Bangalore
SUV,7100,1,Hyundai,Hyundai Alcazar,2022,2082999,Petrol,Comprehensive,Automatic,14.2,1999,156.9,White,6,Bangalore
Hatchback,43679,1,Hyundai,Hyundai i10,2010,271000,Petrol,Third Party insurance,Manual,19.81,1086,68.05,Silver,5,Bangalore
SUV,40000,1,Hyundai,Hyundai Creta,2018,1280000,Petrol,Third Party,Automatic,14.8,1591,121.3,Others,5,Bangalore
Hatchback,40562,1,Hyundai,Hyundai i20,2012,436000,Diesel,Comprehensive,Manual,22.54,1396,88.76,Red,5,Bangalore
SUV,26500,2,Hyundai,Hyundai Creta,2021,1675000,Petrol,Third Party insurance,Automatic,22.54,1397,138.12,White,5,Bangalore
SUV,20000,1,Hyundai,Hyundai Venue,2019,1250000,Petrol,Third Party insurance,Automatic,18.15,998,118.35,Others,5,Bangalore
SUV,58600,1,Mahindra,Mahindra XUV500,2016,1350000,Diesel,Third Party insurance,Automatic,16.0,2179,140.0,Silver,7,Bangalore
SUV,20000,1,Hyundai,Hyundai Venue,2019,1250000,Petrol,Comprehensive,Automatic,18.15,998,118.35,Others,5,Bangalore
SUV,42050,1,Volkswagen,Volkswagen T-Roc,2020,2225000,Petrol,2,Automatic,18.4,1498,147.94,White,5,Bangalore
Hatchback,65017,1,Maruti,Maruti Celerio,2015,475000,Petrol,Third Party insurance,Automatic,23.1,998,67.04,White,5,Bangalore
Sedan,80000,2,BMW,BMW 3 Series,2008,600000,Diesel,Third Party insurance,Automatic,13.2,1995,170.0,Others,5,Bangalore
SUV,30000,1,Jeep,Jeep Compass,2021,2450000,Petrol,Third Party insurance,Automatic,14.1,1368,160.77,Others,5,Bangalore
SUV,20000,1,Kia,Kia Seltos,2020,1625000,Petrol,Third Party insurance,Automatic,16.5,1353,138.08,Others,5,Bangalore
Sedan,36349,1,Skoda,Skoda Superb,2014,1650000,Diesel,Third Party insurance,Automatic,17.2,1968,138.1,White,5,Bangalore
Hatchback,80000,3,Hyundai,Hyundai i10,2009,249000,Petrol,Third Party insurance,Manual,20.36,1197,78.9,Others,5,Bangalore
SUV,83394,2,Renault,Renault Duster,2014,630000,Petrol,Third Party,Manual,13.24,1598,102.57,Red,5,Bangalore
SUV,30000,2,Audi,Audi Q5,2016,2599000,Diesel,Third Party insurance,Automatic,14.16,1968,174.3,Others,5,Bangalore
Hatchback,80000,3,Hyundai,Hyundai i10,2009,249000,Petrol,Third Party insurance,Manual,20.36,1197,78.9,Others,5,Bangalore
Hatchback,52204,1,Maruti,Maruti Alto K10,2017,385000,Petrol,Comprehensive,Manual,24.39,998,65.71,Silver,5,Bangalore
Hatchback,110000,3,Hyundai,Hyundai i20,2012,300000,Petrol,Third Party insurance,Manual,17.0,1197,80.0,Red,5,Bangalore
SUV,89000,1,Ford,Ford Endeavour,2017,2975000,Diesel,Comprehensive,Automatic,10.91,3198,197.0,Black,7,Bangalore
Hatchback,29813,2,Maruti,Maruti Alto 800,2014,276000,Petrol,Comprehensive,Manual,22.05,796,47.33,Others,5,Bangalore
Hatchback,30000,1,Ford,Ford Figo,2018,500000,Petrol,Comprehensive,Manual,18.16,1196,86.8,Gray,5,Bangalore
Hatchback,13345,1,Maruti,Maruti Ignis,2020,730000,Petrol,Comprehensive,Automatic,20.89,1197,81.8,White,5,Bangalore
SUV,17100,1,Hyundai,Hyundai Alcazar,2022,2245000,Diesel,Comprehensive,Automatic,18.1,1498,113.42,Grey,7,Bangalore
Hatchback,75000,1,Hyundai,Hyundai Grand i10,2014,399000,Petrol,Comprehensive,Manual,18.9,1197,82.0,Grey,5,Bangalore
