Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Mileage,Engine,Max_power,Color,Seating_capacity,City
SUV,18025,1,Hyundai,Hyundai Venue,2022,1275000,Diesel,Third Party insurance,Manual,22.38,1493,113.45,Blue,5,Bangalore
Sedan,68220,1,Honda,Honda City,2010,375000,Petrol,Comprehensive,Manual,17.0,1497,118.0,White,5,Bangalore
SUV,6000,1,Jeep,Jeep Meridian,2022,3875000,Diesel,Comprehensive,Automatic,17.0,1956,172.35,Maroon,7,Bangalore
SUV,59889,1,Mahindra,Mahindra Thar,2018,985000,Diesel,Comprehensive,Manual,16.55,2498,105.0,Golden,6,Bangalore
Sedan,11000,2,Jaguar,Jaguar XE,2019,3775000,Diesel,Third Party insurance,Automatic,13.5,1999,177.0,White,5,Bangalore
Hatchback,38500,1,Hyundai,Hyundai i20,2019,825000,Petrol,Comprehensive,Manual,18.6,1197,81.86,Red,5,Bangalore
SUV,120000,2,Toyota,Toyota Fortuner,2013,1625000,Diesel,Third Party,Automatic,12.55,2982,168.5,Silver,7,Bangalore
Sedan,39157,2,BMW,BMW 3 Series,2016,2198000,Diesel,Comprehensive,Automatic,22.69,1995,190.0,White,5,Bangalore
MUV,162000,1,Toyota,Toyota Innova,2008,825000,Diesel,Third Party insurance,Manual,12.8,2494,102.0,Golden,7,Bangalore
Hatchback,89900,2,BMW,BMW 1 Series,2013,1175000,Petrol,Comprehensive,Automatic,16.28,1598,136.0,Blue,5,Bangalore
Hatchback,58666,1,Maruti,Maruti Baleno,2017,656000,Petrol,Comprehensive,Automatic,21.4,1197,83.1,White,5,Bangalore
Sedan,54137,1,Maruti,Maruti Swift Dzire,2018,612000,Petrol,Comprehensive,Automatic,21.21,1197,81.8,Silver,5,Bangalore
SUV,180000,2,Toyota,Toyota Fortuner,2011,1195000,Diesel,Comprehensive,Manual,11.5,2982,171.0,Silver,7,Bangalore
Hatchback,21997,1,Renault,Renault KWID,2019,436000,Petrol,Comprehensive,Manual,23.01,999,67.0,Red,5,Bangalore
Sedan,40394,2,Maruti,Maruti Swift Dzire,2020,721000,Petrol,Comprehensive,Automatic,21.21,1197,81.8,Blue,5,Bangalore
SUV,49000,2,BMW,BMW X1,2015,1750000,Diesel,Comprehensive,Automatic,17.05,1995,184.0,Green,5,Bangalore
SUV,80390,1,Ford,Ford Ecosport,2017,620000,Petrol,Comprehensive,Manual,15.85,1499,110.4,White,5,Bangalore
Sedan,52721,1,Mercedes-Benz,Mercedes-Benz C-Class,2018,3299000,Diesel,Third Party insurance,Automatic,12.6,1950,194.0,White,5,Bangalore
Hatchback,55127,1,Maruti,Maruti Baleno,2017,643000,Petrol,Comprehensive,Automatic,21.4,1197,83.1,Red,5,Bangalore
SUV,35922,2,Ford,Ford Ecosport,2018,822000,Diesel,Comprehensive,Manual,23.0,1498,98.96,Blue,5,Bangalore
Sedan,16883,1,Honda,Honda Amaze,2019,838000,Petrol,Comprehensive,Automatic,19.0,1199,88.76,Red,5,Bangalore
SUV,86000,2,Renault,Renault Duster,2013,625000,Diesel,Comprehensive,Manual,19.6,1461,108.45,White,5,Bangalore
Sedan,88000,1,Skoda,Skoda Octavia,2016,1125000,Petrol,Third Party insurance,Automatic,15.1,1798,178.0,Maroon,5,Bangalore
SUV,34000,1,Jeep,Jeep Compass,2020,2545000,Diesel,Comprehensive,Automatic,17.1,1956,173.0,White,5,Bangalore
Hatchback,110000,1,Skoda,Skoda Fabia,2013,345000,Diesel,Comprehensive,Manual,20.86,1199,75.0,Grey,5,Bangalore
SUV,55398,1,Renault,Renault Duster,2020,999000,Diesel,Comprehensive,Manual,19.87,1461,843750.0,Orange,5,Bangalore
SUV,54000,2,Ford,Ford Ecosport,2015,675000,Petrol,Comprehensive,Automatic,14.7,1496,120.69,Orange,5,Bangalore
Hatchback,25829,1,Volkswagen,Volkswagen Polo,2019,875000,Petrol,Third Party insurance,Manual,18.78,999,75.0,Brown,5,Bangalore
Hatchback,36913,1,Maruti,Maruti Celerio,2016,484999,Petrol,Comprehensive,Manual,23.1,998,67.04,Silver,5,Bangalore
Hatchback,34000,1,Hyundai,Hyundai i20,2018,775000,Diesel,Third Party insurance,Manual,22.54,1396,88.73,White,5,Bangalore
Hatchback,42162,2,Maruti,Maruti Swift,2018,655000,Petrol,Comprehensive,Automatic,22.56,1197,88.5,Silver,5,Bangalore
Hatchback,48041,2,Maruti,Maruti Celerio,2016,525000,Petrol,Comprehensive,Automatic,23.1,998,67.04,Red,5,Bangalore
Hatchback,43285,3,Renault,Renault KWID,2020,442000,Petrol,Comprehensive,Manual,23.01,999,67.0,Blue,5,Bangalore
Hatchback,44326,1,Hyundai,Hyundai i20,2012,476000,Petrol,Comprehensive,Manual,18.5,1197,82.85,Silver,5,Bangalore
Hatchback,62984,2,Volkswagen,Volkswagen Polo,2017,865000,Petrol,Comprehensive,Automatic,17.21,1197,103.5,White,5,Bangalore
Hatchback,99276,2,Maruti,Maruti Swift,2010,338000,Petrol,Third Party,Manual,22.38,1197,88.5,Silver,5,Bangalore
SUV,42812,2,Hyundai,Hyundai Creta,2018,1299000,Petrol,Third Party insurance,Automatic,13.0,1591,121.3,White,5,Bangalore
Hatchback,57770,1,Maruti,Maruti Swift,2013,492000,Petrol,Third Party,Manual,22.38,1197,88.5,Red,5,Bangalore
Hatchback,42220,3,Hyundai,Hyundai Grand i10,2017,544000,Petrol,Third Party,Automatic,18.9,1197,81.86,Red,5,Bangalore
SUV,66977,1,Mahindra,Mahindra XUV500,2016,1365000,Diesel,Comprehensive,Automatic,16.0,2179,140.0,Grey,7,Bangalore
SUV,29916,1,Hyundai,Hyundai Venue,2021,1085000,Petrol,Third Party insurance,Manual,18.0,998,118.35,White,5,Bangalore
Sedan,10066,1,Skoda,Skoda Slavia,2022,1488000,Petrol,Third Party,Automatic,18.07,999,113.98,Silver,5,Bangalore
Sedan,39243,2,Skoda,Skoda Rapid,2019,939000,Petrol,Third Party insurance,Automatic,14.84,1598,103.2,White,5,Bangalore
Sedan,36309,2,Skoda,Skoda Rapid,2017,888000,Petrol,Comprehensive,Automatic,14.84,1598,103.2,White,5,Bangalore
Hatchback,69408,1,Maruti,Maruti Celerio,2014,425000,Petrol,Comprehensive,Automatic,23.1,998,67.04,Maroon,5,Bangalore
Sedan,12064,2,Honda,Honda Amaze,2019,818000,Petrol,Comprehensive,Automatic,19.0,1199,88.76,White,5,Bangalore
Sedan,74000,1,Mercedes-Benz,Mercedes-Benz E-Class,2013,1944000,Diesel,Comprehensive,Automatic,14.21,2143,203.0,Grey,5,Bangalore
Hatchback,18000,1,Maruti,Maruti Swift,2018,695000,Petrol,Comprehensive,Automatic,22.0,1197,81.8,Blue,5,Bangalore
Sedan,59000,1,Volkswagen,Volkswagen Vento,2010,475000,Petrol,Comprehensive,Automatic,14.4,1598,103.6,Silver,5,Bangalore
Hatchback,17190,1,Hyundai,Hyundai Grand i10,2018,551000,Petrol,Third Party,Manual,18.9,1197,81.86,Blue,5,Bangalore
Hatchback,58323,1,Maruti,Maruti Wagon R,2013,352000,Petrol,Third Party insurance,Manual,18.9,998,67.1,Brown,5,Bangalore
Sedan,40765,1,Honda,Honda City,2015,600000,Petrol,Comprehensive,Manual,17.8,1497,117.3,Red,5,Bangalore
Hatchback,58198,2,Maruti,Maruti Celerio,2016,479000,Petrol,Third Party,Automatic,26.0,998,65.71,Silver,5,Bangalore
Hatchback,42976,1,Hyundai,Hyundai Grand i10,2019,559000,Petrol,Comprehensive,Manual,18.9,1197,81.86,Silver,5,Bangalore
SUV,104507,1,Hyundai,Hyundai Tucson,2017,1519000,Diesel,Third Party,Automatic,18.9,1995,81.86,White,7,Bangalore
Sedan,44074,1,Maruti,Maruti Swift Dzire,2012,409000,Petrol,Comprehensive,Manual,22.41,1197,88.5,Black,5,Bangalore
Hatchback,21000,1,Maruti,Maruti Wagon R,2017,539000,Petrol,Comprehensive,Automatic,21.79,998,67.05,White,5,Bangalore
Hatchback,14089,1,Maruti,Maruti Swift,2021,737000,Petrol,Comprehensive,Manual,22.38,1197,88.5,Red,5,Bangalore
Sedan,94378,2,Honda,Honda City,2014,526000,Diesel,Comprehensive,Manual,26.0,1498,98.6,Red,5,Bangalore
SUV,71000,1,Mahindra,Mahindra XUV500,2016,1350000,Diesel,Third Party insurance,Automatic,16.0,2179,140.0,Silver,7,Bangalore
SUV,174000,1,Toyota,Toyota Fortuner,2018,3194000,Diesel,Comprehensive,Manual,14.24,2755,174.5,White,7,Bangalore
Hatchback,58000,2,Hyundai,Hyundai Grand i10,2016,585000,Petrol,Comprehensive,Automatic,18.9,1197,82.0,White,5,Bangalore
SUV,113000,2,Audi,Audi Q3,2014,1495000,Diesel,Comprehensive,Automatic,15.73,1968,174.33,Brown,5,Bangalore
SUV,170402,2,Volvo,Volvo XC 90,2010,1090000,Diesel,Comprehensive,Automatic,11.1,2400,200.0,White,7,Bangalore
Sedan,30000,2,Audi,Audi A4,2016,2100000,Diesel,Comprehensive,Automatic,18.25,1968,187.74,White,5,Bangalore
Sedan,59000,1,Maruti,Maruti Swift Dzire,2014,590000,Petrol,Comprehensive,Manual,19.1,1197,85.8,Silver,5,Bangalore
SUV,25883,1,Mahindra,Mahindra XUV500,2021,1898999,Diesel,Comprehensive,Manual,15.1,2179,152.87,White,7,Bangalore
SUV,32746,1,Volkswagen,Volkswagen Taigun,2021,1545000,Petrol,Comprehensive,Manual,20.08,999,113.98,White,5,Bangalore
Sedan,35038,1,Skoda,Skoda Octavia,2017,1895000,Petrol,Comprehensive,Automatic,14.7,1798,177.5,White,5,Bangalore
Hatchback,38995,3,Ford,Ford Freestyle,2018,540000,Petrol,Third Party insurance,Manual,19.0,1194,94.68,Yellow,5,Bangalore
Hatchback,61102,1,Maruti,Maruti Swift,2013,491000,Petrol,Comprehensive,Manual,22.38,1197,88.5,Red,5,Bangalore
SUV,132000,2,Skoda,Skoda Yeti,2012,625000,Diesel,Comprehensive,Manual,17.67,1968,138.08,Silver,5,Bangalore
Hatchback,52288,1,Maruti,Maruti S-Presso,2021,436000,Petrol,Comprehensive,Manual,21.7,998,65.71,Others,5,Bangalore
Hatchback,69054,1,Honda,Honda Jazz,2017,616000,Petrol,Comprehensive,Automatic,19.0,1199,88.7,Brown,5,Bangalore
SUV,67000,1,Renault,Renault Duster,2015,675000,Petrol,Comprehensive,Manual,13.24,1598,102.57,Silver,5,Bangalore
Sedan,51745,2,Maruti,Maruti Swift Dzire,2015,533000,Diesel,Zero Dep,Manual,26.59,1248,74.0,Black,5,Bangalore
Convertibles,22000,1,Audi,Audi A3 cabriolet,2015,3495000,Petrol,Comprehensive,Automatic,16.6,1798,177.0,Red,4,Bangalore
Hatchback,11268,2,Hyundai,Hyundai Grand i10,2017,626000,Petrol,Comprehensive,Manual,18.9,1197,81.86,Silver,5,Bangalore
Hatchback,24357,1,Tata,Tata Tiago,2020,632000,Petrol,Comprehensive,Manual,20.09,1199,84.82,Red,5,Bangalore
MUV,157000,2,Toyota,Toyota Innova Crysta,2016,1775000,Diesel,Comprehensive,Manual,13.68,2393,147.51,White,8,Bangalore
Sedan,9982,1,Honda,Honda City,2018,1000000,Petrol,Comprehensive,Manual,17.0,1497,118.0,Golden Brown,5,Bangalore
Sedan,22000,1,Audi,Audi A3,2020,2875000,Diesel,Comprehensive,Automatic,20.38,1968,143.0,Red,5,Bangalore
SUV,27000,1,Hyundai,Hyundai Venue,2020,1085000,Petrol,Third Party insurance,Manual,18.0,998,118.35,Blue,5,Bangalore
Sedan,68000,2,BMW,BMW 3 Series,2017,2275000,Diesel,Comprehensive,Automatic,22.69,1995,187.74,White,5,Bangalore
SUV,19000,1,Hyundai,Hyundai Venue,2022,1365000,Petrol,Comprehensive,Automatic,18.15,998,118.35,White,5,Bangalore
SUV,41000,2,BMW,BMW X1,2012,1550000,Diesel,Comprehensive,Automatic,17.05,1995,184.0,Brown,5,Bangalore
SUV,49000,1,BMW,BMW X1,2018,3025000,Diesel,Third Party,Automatic,20.68,1995,188.0,Blue,5,Bangalore
Sedan,45000,2,BMW,BMW 5 Series,2018,4275000,Diesel,Third Party insurance,Automatic,20.37,1995,187.74,Black,5,Bangalore
SUV,75000,2,BMW,BMW X5,2016,4450000,Diesel,Comprehensive,Automatic,11.7,2993,245.0,White,5,Bangalore
Hatchback,39613,1,Maruti,Maruti Celerio,2015,483000,Petrol,Comprehensive,Manual,25.24,998,65.71,Red,5,Bangalore
Sedan,68906,2,Honda,Honda City,2018,1007000,Petrol,Comprehensive,Automatic,18.0,1497,117.6,White,5,Bangalore
SUV,33000,1,Renault,Renault Duster,2019,994999,Petrol,Comprehensive,Automatic,13.9,1498,105.0,White,5,Bangalore
Sedan,71423,1,Maruti,Maruti Swift Dzire,2016,573000,Petrol,Zero Dep,Manual,22.41,1197,88.5,Red,5,Bangalore
Sedan,17811,1,Maruti,Maruti Swift Dzire,2015,658000,Petrol,Comprehensive,Manual,22.41,1197,88.5,Silver,5,Bangalore
SUV,79000,1,Hyundai,Hyundai Creta,2017,1245000,Diesel,Comprehensive,Automatic,17.6,1582,126.2,White,5,Bangalore
Hatchback,9724,1,Maruti,Maruti Baleno,2020,906000,Petrol,Comprehensive,Automatic,21.4,1197,83.1,Silver,5,Bangalore
SUV,75000,1,Hyundai,Hyundai Creta,2019,1195000,Petrol,Comprehensive,Manual,15.8,1591,121.3,White,5,Bangalore
Sedan,20754,1,Toyota,Toyota Yaris,2021,1031000,Petrol,Comprehensive,Manual,17.1,1496,105.94,White,5,Bangalore
Hatchback,50510,3,Hyundai,Hyundai Grand i10,2015,413000,Petrol,Third Party insurance,Manual,18.9,1197,82.0,Red,5,Bangalore
Hatchback,35000,1,Hyundai,Hyundai Grand i10,2019,624000,Petrol,Comprehensive,Manual,18.9,1197,81.86,White,5,Bangalore
Sedan,85000,3,Hyundai,Hyundai Verna,2011,465000,Diesel,Comprehensive,Manual,22.32,1582,126.32,Silver,5,Bangalore
Sedan,48979,1,Honda,Honda City,2018,1050000,Petrol,Third Party insurance,Automatic,18.0,1497,117.3,White,5,Bangalore
SUV,46000,2,Tata,Tata Nexon,2017,725000,Petrol,Third Party insurance,Manual,17.0,1198,108.5,Red,5,Bangalore
SUV,9000,1,Mahindra,Mahindra Thar,2020,1800000,Diesel,Comprehensive,Automatic,17.0,2184,130.0,Red,4,Bangalore
Sedan,70000,2,Ford,Ford Aspire,2018,650000,Diesel,Comprehensive,Manual,26.1,1498,99.23,Maroon,5,Bangalore
Sedan,78000,2,Volvo,Volvo S60,2014,1395000,Diesel,Comprehensive,Automatic,27.03,1969,190.0,Red,5,Bangalore
Sedan,1500,1,Honda,Honda Amaze,2021,865000,Diesel,Comprehensive,Manual,24.7,1498,98.63,Golden Brown,5,Bangalore
Sedan,70000,2,BMW,BMW 5 Series,2011,1423000,Diesel,Comprehensive,Automatic,18.48,1995,177.0,Golden,5,Bangalore
SUV,8187,1,MG,MG Gloster,2023,4399000,Diesel,Comprehensive,Automatic,13.92,1996,158.79,Black,6,Bangalore
Sedan,81777,3,Maruti,Maruti Swift Dzire,2014,475000,Petrol,Comprehensive,Manual,22.41,1197,88.5,Silver,5,Bangalore
Sedan,48698,2,Honda,Honda City,2016,747000,Petrol,Third Party,Automatic,18.0,1497,117.3,Others,5,Bangalore
SUV,21000,1,Kia,Kia Seltos,2020,1590000,Petrol,Comprehensive,Automatic,16.5,1353,138.08,Grey,5,Bangalore
Hatchback,67771,2,Hyundai,Hyundai Grand i10,2016,520000,Petrol,Third Party,Automatic,18.9,1197,82.0,Silver,5,Bangalore
Sedan,60386,1,Maruti,Maruti Swift Dzire,2015,530000,Petrol,Third Party insurance,Manual,22.41,1197,88.5,White,5,Bangalore
Hatchback,48928,1,Tata,Tata Tiago,2018,595000,Petrol,Zero Dep,Automatic,23.84,1199,83.83,Red,5,Bangalore
Hatchback,111374,1,Hyundai,Hyundai i20,2010,312000,Petrol,Comprehensive,Manual,18.5,1197,82.85,Silver,5,Bangalore
SUV,33000,2,Hyundai,Hyundai Creta,2017,919999,Petrol,Comprehensive,Manual,15.8,1591,121.3,Grey,5,Bangalore
Hatchback,40561,1,Maruti,Maruti Alto 800,2021,403000,Petrol,Comprehensive,Manual,22.05,796,47.33,Silver,5,Bangalore
Hatchback,92529,1,Maruti,Maruti Swift,2013,415000,Petrol,Comprehensive,Manual,22.38,1197,88.5,White,5,Bangalore
Sedan,42000,1,Honda,Honda Amaze,2019,850000,Petrol,Comprehensive,Automatic,18.1,1199,88.7,Maroon,5,Bangalore
MUV,55342,1,Kia,Kia Carnival,2020,2700000,Diesel,Comprehensive,Automatic,14.11,2199,197.26,Aurora Black Pearl,7,Bangalore
SUV,51000,1,Ford,Ford Ecosport,2021,1145000,Diesel,Comprehensive,Manual,21.7,1498,98.96,Brown,5,Bangalore
SUV,37000,2,Mahindra,Mahindra XUV500,2018,1275000,Diesel,Comprehensive,Manual,15.1,2179,152.87,Silver,7,Bangalore
Hatchback,36468,1,Honda,Honda Jazz,2017,645000,Petrol,Third Party insurance,Manual,18.7,1199,88.7,Silver,5,Bangalore
SUV,11250,1,Mahindra,Mahindra XUV300,2022,1440000,Petrol,Comprehensive,Manual,16.82,1197,108.62,Black,5,Bangalore
MUV,36000,1,Maruti,Maruti Ertiga,2019,1145000,Petrol,Comprehensive,Manual,19.01,1462,103.26,Golden,7,Bangalore
SUV,36368,1,Hyundai,Hyundai Venue,2019,1225000,Petrol,Comprehensive,Automatic,18.15,998,118.35,Blue,5,Bangalore
Sedan,36000,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,5275000,Diesel,Comprehensive,Automatic,13.5,2987,254.79,White,5,Bangalore
SUV,62000,3,BMW,BMW X3,2017,3800000,Diesel,Comprehensive,Automatic,18.56,1995,190.0,White,5,Bangalore
Sedan,39466,1,Honda,Honda City,2018,888000,Petrol,Comprehensive,Manual,17.4,1497,117.6,Brown,5,Bangalore
Hatchback,49570,1,Maruti,Maruti Swift,2014,507000,Petrol,Comprehensive,Manual,22.38,1197,88.5,White,5,Bangalore
Sedan,23382,2,Volkswagen,Volkswagen Vento,2018,1019999,Petrol,Comprehensive,Automatic,18.19,1197,103.2,Beige,5,Bangalore
Hatchback,42954,1,Maruti,Maruti S-Presso,2021,472000,Petrol,Comprehensive,Manual,21.7,998,67.05,White,5,Bangalore
Hatchback,68306,1,Maruti,Maruti Swift,2014,471000,Petrol,Third Party,Manual,22.38,1197,88.5,Silver,5,Bangalore
Hatchback,54961,1,Hyundai,Hyundai i20,2018,821000,Diesel,Comprehensive,Manual,22.54,1396,88.76,Star Dust,5,Bangalore
Hatchback,91087,1,Maruti,Maruti Swift,2015,509999,Petrol,Third Party insurance,Manual,22.38,1197,88.5,Red,5,Bangalore
Hatchback,16691,1,Renault,Renault KWID,2022,599000,Petrol,Comprehensive,Manual,21.74,999,67.0,White,5,Bangalore
Hatchback,80190,1,Maruti,Maruti Wagon R,2016,401999,Petrol,Comprehensive,Manual,20.51,998,67.04,Brown,5,Bangalore
SUV,54639,1,Hyundai,Hyundai Creta,2017,1002000,Petrol,Comprehensive,Manual,15.29,1591,121.3,Red,5,Bangalore
SUV,50225,1,Maruti,Maruti SX4 S Cross,2020,975000,Petrol,Third Party insurance,Manual,18.55,1462,103.25,Grey,5,Bangalore
Hatchback,68017,1,Hyundai,Hyundai i20,2018,795000,Diesel,Third Party insurance,Manual,22.54,1396,88.76,Blue,5,Bangalore
Hatchback,87912,1,Volkswagen,Volkswagen Polo,2016,550000,Petrol,Comprehensive,Manual,16.2,1199,74.0,Flash Red,5,Bangalore
SUV,2045,1,Tata,Tata Nexon,2021,1298000,Petrol,Third Party insurance,Manual,17.57,1199,118.36,Black,5,Bangalore
SUV,24305,1,Maruti,Maruti SX4 S Cross,2021,1085000,Petrol,Not Available,Manual,18.55,1462,103.25,Blue,5,Bangalore
Hatchback,2500,1,Tata,Tata Nano,2015,335000,Petrol,Third Party insurance,Automatic,25.4,624,37.5,Purple,4,Bangalore
SUV,31489,1,Tata,Tata Nexon,2020,1109000,Petrol,Comprehensive,Automatic,17.05,1199,118.35,Blue,5,Bangalore
Sedan,82268,2,Fiat,Fiat Linea,2014,350000,Petrol,Comprehensive,Manual,14.6,1368,112.0,Golden,5,Bangalore
SUV,73834,1,Ford,Ford Ecosport,2019,894999,Diesel,Zero Dep,Manual,23.0,1498,98.96,Black,5,Bangalore
SUV,73000,2,Toyota,Toyota Fortuner,2014,1775000,Diesel,Comprehensive,Manual,13.0,2982,168.5,Grey,7,Bangalore
Hatchback,41436,1,Maruti,Maruti Celerio,2017,466000,Petrol,Comprehensive,Manual,23.1,998,67.04,Silver,5,Bangalore
Sedan,19024,2,Honda,Honda City,2019,924000,Petrol,Comprehensive,Manual,17.4,1497,117.6,Brown,5,Bangalore
MUV,73000,1,Mahindra,Mahindra Xylo,2016,775000,Diesel,Comprehensive,Manual,14.02,2179,118.3,Red,8,Bangalore
Hatchback,73140,2,Maruti,Maruti Alto 800,2020,378000,Petrol,Third Party,Manual,22.05,796,47.33,Red,5,Bangalore
Hatchback,29289,1,Maruti,Maruti Swift,2015,555000,Petrol,Third Party insurance,Manual,22.38,1197,88.5,Silver,5,Bangalore
Sedan,39116,1,Honda,Honda City,2016,899000,Petrol,Third Party insurance,Automatic,18.0,1497,117.3,Silver,5,Bangalore
Hatchback,41958,1,Maruti,Maruti Alto 800,2019,370000,Petrol,Comprehensive,Manual,24.7,796,47.3,Silver,5,Bangalore
SUV,26626,1,Honda,Honda WR-V,2018,810000,Petrol,Comprehensive,Manual,17.5,1199,88.7,Brown,5,Bangalore
Hatchback,63460,1,Honda,Honda Jazz,2019,774000,Petrol,Third Party insurance,Automatic,18.2,1199,88.7,White,5,Bangalore
Hatchback,35711,1,Hyundai,Hyundai Santro,2019,530000,Petrol,Comprehensive,Manual,20.3,1086,68.0,Red,5,Bangalore
SUV,20057,1,Honda,Honda WR-V,2020,944999,Petrol,Third Party insurance,Manual,16.5,1199,88.5,Brown,5,Bangalore
Hatchback,25396,1,Tata,Tata Altroz,2020,880000,Petrol,Not Available,Manual,19.33,1199,86.83,Golden,5,Bangalore
Hatchback,88000,1,Hyundai,Hyundai i20,2013,525000,Diesel,Comprehensive,Manual,21.27,1396,88.76,Brown,5,Bangalore
SUV,62000,1,Jeep,Jeep Compass,2019,1605000,Petrol,Comprehensive,Automatic,14.1,1368,160.77,Grey,5,Bangalore
Sedan,35993,1,Honda,Honda City,2020,1170000,Petrol,Not Available,Manual,18.6,1498,119.35,PLATINUM WHITE PEARL,5,Bangalore
Hatchback,34000,1,Hyundai,Hyundai Grand i10,2017,650000,Petrol,Comprehensive,Automatic,18.9,1197,81.86,Silver,5,Bangalore
SUV,51338,1,Honda,Honda WR-V,2019,875000,Petrol,Comprehensive,Manual,17.5,1199,88.7,Red,5,Bangalore
Hatchback,74280,1,Hyundai,Hyundai Grand i10,2015,500000,Petrol,Comprehensive,Manual,18.9,1197,82.0,Wine Red,5,Bangalore
SUV,82000,1,Land Rover,Land Rover Range Rover Sport,2019,9500000,Diesel,Third Party insurance,Automatic,12.65,2993,296.0,Grey,5,Bangalore
Sedan,63773,1,Audi,Audi A6,2015,2195000,Diesel,Not Available,Automatic,17.68,1968,174.33,Blue,5,Bangalore
Hatchback,101356,2,Hyundai,Hyundai Grand i10,2015,395000,Petrol,Comprehensive,Manual,18.9,1197,82.0,Red,5,Bangalore
Hatchback,75591,1,Maruti,Maruti Alto 800,2020,421000,CNG,Third Party insurance,Manual,31.59,796,40.36,Others,4,Bangalore
SUV,72208,1,Hyundai,Hyundai Creta,2017,1300000,Petrol,Comprehensive,Automatic,13.0,1591,121.3,Blue,5,Bangalore
Hatchback,51489,1,Maruti,Maruti Swift,2014,490000,Petrol,Comprehensive,Manual,22.38,1197,88.5,Blue,5,Bangalore
Hatchback,74643,1,Maruti,Maruti Ignis,2017,520000,Petrol,Comprehensive,Automatic,20.89,1197,81.8,Others,5,Bangalore
SUV,44000,2,BMW,BMW X5,2008,1450000,Diesel,Comprehensive,Automatic,15.3,2993,258.0,Golden,5,Bangalore
Hatchback,79575,1,Honda,Honda Jazz,2017,616000,Petrol,Zero Dep,Automatic,19.0,1199,88.7,Silver,5,Bangalore
SUV,54097,1,Honda,Honda WR-V,2018,825000,Petrol,Third Party insurance,Manual,17.5,1199,88.7,White,5,Bangalore
Sedan,35288,2,Honda,Honda City,2018,838000,Petrol,Comprehensive,Manual,17.4,1497,117.6,Others,5,Bangalore
Hatchback,70314,1,Maruti,Maruti Swift,2019,618000,Petrol,Third Party insurance,Automatic,22.56,1197,88.5,Silver,5,Bangalore
SUV,96939,2,Renault,Renault Duster,2017,875000,Diesel,Third Party,Manual,19.72,1461,108.45,Black,5,Bangalore
Hatchback,44824,2,Nissan,Nissan Micra,2010,390000,Petrol,Comprehensive,Manual,18.06,1198,75.0,Red,5,Bangalore
MUV,169219,2,Toyota,Toyota Innova,2014,1349000,Diesel,Zero Dep,Manual,12.99,2494,100.6,Golden,7,Bangalore
Sedan,92673,2,Honda,Honda City,2012,500000,Petrol,Comprehensive,Manual,16.8,1497,116.3,Taffeta White,5,Bangalore
SUV,79000,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,4100000,Diesel,Comprehensive,Automatic,11.3,2987,254.8,White,7,Bangalore
SUV,20183,1,Jeep,Jeep Compass,2020,2190000,Diesel,Third Party insurance,Automatic,17.1,1956,173.0,Minimal Grey,5,Bangalore
Sedan,77130,1,Toyota,Toyota Yaris,2018,795000,Petrol,Third Party insurance,Automatic,17.8,1496,105.5,White,5,Bangalore
SUV,45000,1,Ford,Ford Ecosport,2017,775000,Petrol,Comprehensive,Automatic,14.7,1496,120.69,Brown,5,Bangalore
Hatchback,27025,2,Maruti,Maruti Baleno,2017,745000,Petrol,Zero Dep,Automatic,19.56,1197,81.8,Grey,5,Bangalore
SUV,105153,1,Kia,Kia Seltos,2019,1125000,Petrol,Third Party insurance,Manual,16.1,1353,138.0,White,5,Bangalore
SUV,70509,1,Mahindra,Mahindra XUV500,2016,1030000,Diesel,Third Party insurance,Manual,16.0,2179,140.0,Brown,7,Bangalore
Hatchback,11662,2,Renault,Renault KWID,2020,582000,Petrol,Third Party,Automatic,22.0,999,67.0,Silver,5,Bangalore
Hatchback,36176,1,Hyundai,Hyundai Grand i10,2018,615000,Petrol,Third Party,Manual,18.9,1197,81.86,White,5,Bangalore
Hatchback,74342,2,Honda,Honda Jazz,2015,560000,Petrol,Third Party,Automatic,19.0,1199,88.7,Red,5,Bangalore
Hatchback,89837,1,Maruti,Maruti Baleno,2016,710000,Diesel,Comprehensive,Manual,27.39,1248,74.0,Silver,5,Bangalore
Hatchback,11912,2,Maruti,Maruti Swift,2015,535000,Petrol,Zero Dep,Manual,21.21,1197,81.8,White,5,Bangalore
Hatchback,55544,2,Maruti,Maruti Swift,2012,446000,Diesel,Comprehensive,Manual,22.9,1248,74.0,Red,5,Bangalore
SUV,27027,1,Ford,Ford Ecosport,2019,1018000,Petrol,Comprehensive,Automatic,14.8,1497,121.36,White,5,Bangalore
Sedan,56363,1,Honda,Honda City,2017,840000,Petrol,Third Party insurance,Automatic,18.0,1497,117.3,Silver,5,Bangalore
Sedan,42094,2,Hyundai,Hyundai Verna,2016,654000,Petrol,Comprehensive,Manual,17.01,1591,121.3,Others,5,Bangalore
SUV,114912,1,Kia,Kia Seltos,2019,1125000,Petrol,Comprehensive,Manual,16.1,1353,138.0,White,5,Bangalore
Hatchback,33649,1,Maruti,Maruti Swift,2016,585000,Petrol,Comprehensive,Manual,22.0,1197,81.8,Red,5,Bangalore
